Config	ResRisk	AssetValue	AuthPenalty	PRiskPImpersAttack	PRiskReplayAttack	PRiskSessionAttack	TotalRisk	op_AccessPatientProfile	op_OrderLabTest	op_AdjustCarePlan	op_ApproveDischargeSummary	op_RequestConsultation	op_CommunicateWithPatient	op_ViewRadiologyImages	op_ManageAppointment	op_PrintMedicalReport	asset_Diagnosis	asset_TreatmentPlan	asset_LabResults	asset_TestReports	asset_PatientHistory	asset_PatientInteractions	asset_VisitSummaries	asset_ReferralNotes	asset_EncounterNotes	asset_PatientRecords	asset_PatientDemographics	asset_RadiologyImages	asset_DischargeSummaries	asset_PatientCommunications	Diagnosis_Read	Diagnosis_Write	Diagnosis_Update	Diagnosis_Delete	Diagnosis_CRUD	TreatmentPlan_Read	TreatmentPlan_Write	TreatmentPlan_Update	TreatmentPlan_Delete	TreatmentPlan_CRUD	LabResults_Read	LabResults_Write	LabResults_Update	LabResults_Delete	LabResults_CRUD	TestReports_Read	TestReports_Write	TestReports_Update	TestReports_Delete	TestReports_CRUD	PatientHistory_Read	PatientHistory_Write	PatientHistory_Update	PatientHistory_Delete	PatientHistory_CRUD	PatientInteractions_Read	PatientInteractions_Write	PatientInteractions_Update	PatientInteractions_Delete	PatientInteractions_CRUD	VisitSummaries_Read	VisitSummaries_Write	VisitSummaries_Update	VisitSummaries_Delete	VisitSummaries_CRUD	ReferralNotes_Read	ReferralNotes_Write	ReferralNotes_Update	ReferralNotes_Delete	ReferralNotes_CRUD	EncounterNotes_Read	EncounterNotes_Write	EncounterNotes_Update	EncounterNotes_Delete	EncounterNotes_CRUD	PatientRecords_Read	PatientRecords_Write	PatientRecords_Update	PatientRecords_Delete	PatientRecords_CRUD	PatientDemographics_Read	PatientDemographics_Write	PatientDemographics_Update	PatientDemographics_Delete	PatientDemographics_CRUD	RadiologyImages_Read	RadiologyImages_Write	RadiologyImages_Update	RadiologyImages_Delete	RadiologyImages_CRUD	DischargeSummaries_Read	DischargeSummaries_Write	DischargeSummaries_Update	DischargeSummaries_Delete	DischargeSummaries_CRUD	PatientCommunications_Read	PatientCommunications_Write	PatientCommunications_Update	PatientCommunications_Delete	PatientCommunications_CRUD
1	0.2893	0.7233	0.0266	0.2893	0.2893	0.0000	0.5063	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	0	0	RW--	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	0	0	RW--	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	0	RWU-	1	1	1	0	RWU-	1	1	0	0	RW--
2	0.2764	0.6910	0.0716	0.2764	0.2764	0.0000	0.4837	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	RWUD	1	1	1	0	RWU-	1	1	1	1	RWUD	1	1	1	1	RWUD	1	0	0	0	R---	1	1	1	0	RWU-	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	0	0	0	0	----	1	1	1	0	RWU-	1	1	1	1	RWUD
3	0.2538	0.6346	0.2522	0.2538	0.2538	0.0000	0.4442	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	0	RWU-	0	0	0	0	----	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	0	RWU-	0	0	0	0	----	1	1	1	0	RWU-	0	0	0	0	----
4	0.2538	0.6344	0.2545	0.2538	0.2538	0.0000	0.4441	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	0	0	0	0	----	1	1	1	1	RWUD	1	1	0	0	RW--	1	1	1	0	RWU-	1	1	1	1	RWUD	1	1	1	1	RWUD	0	0	0	0	----	1	1	1	0	RWU-	0	0	0	0	----
5	0.2398	0.5996	0.2626	0.2398	0.2398	0.0000	0.4197	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	0	RWU-	1	1	1	1	RWUD	0	0	0	0	----	1	0	0	0	R---	1	1	1	1	RWUD	1	1	0	0	RW--	1	1	1	1	RWUD	1	1	1	1	RWUD	0	0	0	0	----	1	1	1	0	RWU-	0	0	0	0	----
6	0.2290	0.5724	0.2812	0.2290	0.2290	0.0000	0.4007	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	0	0	RW--	1	1	1	1	RWUD	1	0	0	0	R---	0	0	0	0	----	1	0	0	0	R---	1	1	0	0	RW--	1	1	1	1	RWUD	1	1	1	1	RWUD	1	0	0	0	R---	0	0	0	0	----	1	1	1	0	RWU-	0	0	0	0	----
7	0.2173	0.5433	0.3055	0.2173	0.2173	0.0000	0.3803	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	0	0	R---	1	1	1	1	RWUD	1	1	0	0	RW--	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	1	0	0	0	R---	1	1	0	0	RW--	1	1	0	0	RW--	1	0	0	0	R---	1	1	1	1	RWUD	0	0	0	0	----	1	1	1	0	RWU-	0	0	0	0	----
8	0.1998	0.4995	0.3686	0.1998	0.1998	0.0000	0.3497	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	0	0	0	R---	1	1	1	0	RWU-	1	1	1	1	RWUD	1	0	0	0	R---	1	1	1	1	RWUD	0	0	0	0	----	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	1	1	1	1	RWUD	1	0	0	0	R---	0	0	0	0	----	1	1	1	0	RWU-	0	0	0	0	----
9	0.1929	0.4823	0.3680	0.1929	0.1929	0.0000	0.3376	1	1	1	0	1	0	0	0	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	0	0	0	R---	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	0	RWU-	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	1	1	1	1	RWUD	1	1	0	0	RW--	1	0	0	0	R---	1	1	1	1	RWUD	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----
10	0.1707	0.4268	0.4478	0.1707	0.1707	0.0000	0.2988	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	1	1	1	0	RWU-	1	1	1	0	RWU-	1	1	0	0	RW--	1	1	1	0	RWU-	1	1	0	0	RW--	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----	1	1	1	0	RWU-	1	1	1	0	RWU-	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----
