Config	ResRisk	AssetValue	AuthPenalty	PRiskPImpersAttack	PRiskReplayAttack	PRiskSessionAttack	TotalRisk	op_AccessPatientProfile	op_OrderLabTest	op_AdjustCarePlan	op_ApproveDischargeSummary	op_RequestConsultation	op_CommunicateWithPatient	op_ViewRadiologyImages	op_ManageAppointment	op_PrintMedicalReport	asset_Diagnosis	asset_TreatmentPlan	asset_LabResults	asset_TestReports	asset_PatientHistory	asset_PatientInteractions	asset_VisitSummaries	asset_ReferralNotes	asset_EncounterNotes	asset_PatientRecords	asset_PatientDemographics	asset_RadiologyImages	asset_DischargeSummaries	asset_PatientCommunications	Diagnosis_Read	Diagnosis_Write	Diagnosis_Update	Diagnosis_Delete	Diagnosis_CRUD	TreatmentPlan_Read	TreatmentPlan_Write	TreatmentPlan_Update	TreatmentPlan_Delete	TreatmentPlan_CRUD	LabResults_Read	LabResults_Write	LabResults_Update	LabResults_Delete	LabResults_CRUD	TestReports_Read	TestReports_Write	TestReports_Update	TestReports_Delete	TestReports_CRUD	PatientHistory_Read	PatientHistory_Write	PatientHistory_Update	PatientHistory_Delete	PatientHistory_CRUD	PatientInteractions_Read	PatientInteractions_Write	PatientInteractions_Update	PatientInteractions_Delete	PatientInteractions_CRUD	VisitSummaries_Read	VisitSummaries_Write	VisitSummaries_Update	VisitSummaries_Delete	VisitSummaries_CRUD	ReferralNotes_Read	ReferralNotes_Write	ReferralNotes_Update	ReferralNotes_Delete	ReferralNotes_CRUD	EncounterNotes_Read	EncounterNotes_Write	EncounterNotes_Update	EncounterNotes_Delete	EncounterNotes_CRUD	PatientRecords_Read	PatientRecords_Write	PatientRecords_Update	PatientRecords_Delete	PatientRecords_CRUD	PatientDemographics_Read	PatientDemographics_Write	PatientDemographics_Update	PatientDemographics_Delete	PatientDemographics_CRUD	RadiologyImages_Read	RadiologyImages_Write	RadiologyImages_Update	RadiologyImages_Delete	RadiologyImages_CRUD	DischargeSummaries_Read	DischargeSummaries_Write	DischargeSummaries_Update	DischargeSummaries_Delete	DischargeSummaries_CRUD	PatientCommunications_Read	PatientCommunications_Write	PatientCommunications_Update	PatientCommunications_Delete	PatientCommunications_CRUD
1	0.4335	0.7225	0.0110	0.4335	0.4335	0.0722	0.5058	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	0	0	RW--	1	1	1	0	RWU-	1	1	1	1	RWUD
2	0.4220	0.7034	0.0882	0.4220	0.4220	0.0703	0.4924	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	RWUD	1	1	1	0	RWU-	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	0	0	0	R---	1	1	1	1	RWUD	1	1	0	0	RW--	1	1	0	0	RW--	1	1	1	1	RWUD	1	1	0	0	RW--	1	1	1	0	RWU-	1	1	1	1	RWUD
3	0.4095	0.6825	0.1233	0.4095	0.4095	0.0683	0.4778	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	RWUD	1	1	1	0	RWU-	1	1	1	1	RWUD	1	1	1	1	RWUD	1	0	0	0	R---	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	0	0	RW--	1	1	1	1	RWUD	1	1	1	1	RWUD	0	0	0	0	----	1	1	1	0	RWU-	1	1	1	1	RWUD
4	0.3984	0.6640	0.1270	0.3984	0.3984	0.0664	0.4648	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	RWU-	1	1	1	0	RWU-	1	1	1	1	RWUD	1	0	0	0	R---	1	0	0	0	R---	1	1	1	0	RWU-	1	0	0	0	R---	1	1	1	1	RWUD	1	1	0	0	RW--	1	0	0	0	R---	1	0	0	0	R---	1	1	0	0	RW--	1	1	1	0	RWU-	1	1	0	0	RW--
5	0.3854	0.6424	0.1489	0.3854	0.3854	0.0642	0.4497	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	0	0	RW--	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	0	0	0	R---	1	1	1	1	RWUD	1	1	0	0	RW--	1	0	0	0	R---	1	1	0	0	RW--	0	0	0	0	----	1	1	1	0	RWU-	1	1	0	0	RW--
6	0.3733	0.6222	0.1633	0.3733	0.3733	0.0622	0.4355	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	R---	1	1	1	0	RWU-	1	1	0	0	RW--	1	1	1	1	RWUD	1	0	0	0	R---	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	0	RWU-	1	1	0	0	RW--	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	1	1	1	0	RWU-	1	1	0	0	RW--
7	0.3616	0.6027	0.1894	0.3616	0.3616	0.0603	0.4219	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	RW--	1	1	1	0	RWU-	1	1	0	0	RW--	1	1	0	0	RW--	1	0	0	0	R---	1	0	0	0	R---	1	0	0	0	R---	1	1	0	0	RW--	1	1	0	0	RW--	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	1	1	1	0	RWU-	1	1	0	0	RW--
8	0.3457	0.5762	0.3227	0.3457	0.3457	0.0576	0.4033	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	0	0	R---	1	1	1	0	RWU-	1	1	0	0	RW--	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	1	0	0	0	R---	1	1	0	0	RW--	1	1	0	0	RW--	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	1	1	1	0	RWU-	0	0	0	0	----
9	0.3383	0.5638	0.2951	0.3383	0.3383	0.0564	0.3947	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	0	0	0	R---	1	1	1	0	RWU-	1	1	0	0	RW--	1	0	0	0	R---	1	0	0	0	R---	1	1	1	1	RWUD	1	1	1	1	RWUD	0	0	0	0	----	0	0	0	0	----	1	0	0	0	R---	1	1	1	1	RWUD	0	0	0	0	----	1	1	1	0	RWU-	1	1	0	0	RW--
10	0.3206	0.5343	0.3080	0.3206	0.3206	0.0534	0.3740	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	RWUD	1	1	1	0	RWU-	1	1	1	0	RWU-	1	0	0	0	R---	1	0	0	0	R---	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	1	1	1	0	RWU-	1	1	1	0	RWU-
11	0.3145	0.5242	0.3097	0.3145	0.3145	0.0524	0.3669	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	0	0	0	R---	1	1	1	0	RWU-	1	1	1	1	RWUD	1	0	0	0	R---	1	0	0	0	R---	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	1	1	1	0	RWU-	1	1	1	1	RWUD
12	0.2977	0.4961	0.3465	0.2977	0.2977	0.0496	0.3473	1	1	1	0	1	0	0	0	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	0	RWU-	0	0	0	0	----	0	0	0	0	----	1	1	1	1	RWUD	1	1	0	0	RW--	1	1	1	1	RWUD	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----
13	0.2906	0.4843	0.3933	0.2906	0.2906	0.0484	0.3390	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	0	0	0	R---	1	1	1	0	RWU-	1	1	0	0	RW--	1	0	0	0	R---	1	1	0	0	RW--	0	0	0	0	----	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	1	1	1	0	RWU-	0	0	0	0	----
14	0.2770	0.4616	0.3592	0.2770	0.2770	0.0462	0.3231	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	RWUD	1	1	1	0	RWU-	1	1	0	0	RW--	1	1	1	1	RWUD	1	0	0	0	R---	1	1	1	1	RWUD	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----	1	1	1	1	RWUD	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	1	1	0	0	RW--
15	0.2647	0.4412	0.3889	0.2647	0.2647	0.0441	0.3088	1	1	1	0	1	0	0	0	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	0	0	0	R---	1	1	1	0	RWU-	1	1	1	0	RWU-	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	1	1	0	0	RW--	1	1	0	0	RW--	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----
