Config	ResRisk	AssetValue	AuthPenalty	PRiskPImpersAttack	PRiskReplayAttack	PRiskSessionAttack	TotalRisk	op_AccessPatientProfile	op_OrderLabTest	op_AdjustCarePlan	op_ApproveDischargeSummary	op_RequestConsultation	op_CommunicateWithPatient	op_ViewRadiologyImages	op_ManageAppointment	op_PrintMedicalReport	asset_Diagnosis	asset_TreatmentPlan	asset_LabResults	asset_TestReports	asset_PatientHistory	asset_PatientInteractions	asset_VisitSummaries	asset_ReferralNotes	asset_EncounterNotes	asset_PatientRecords	asset_PatientDemographics	asset_RadiologyImages	asset_DischargeSummaries	asset_PatientCommunications	Diagnosis_Read	Diagnosis_Write	Diagnosis_Update	Diagnosis_Delete	Diagnosis_CRUD	TreatmentPlan_Read	TreatmentPlan_Write	TreatmentPlan_Update	TreatmentPlan_Delete	TreatmentPlan_CRUD	LabResults_Read	LabResults_Write	LabResults_Update	LabResults_Delete	LabResults_CRUD	TestReports_Read	TestReports_Write	TestReports_Update	TestReports_Delete	TestReports_CRUD	PatientHistory_Read	PatientHistory_Write	PatientHistory_Update	PatientHistory_Delete	PatientHistory_CRUD	PatientInteractions_Read	PatientInteractions_Write	PatientInteractions_Update	PatientInteractions_Delete	PatientInteractions_CRUD	VisitSummaries_Read	VisitSummaries_Write	VisitSummaries_Update	VisitSummaries_Delete	VisitSummaries_CRUD	ReferralNotes_Read	ReferralNotes_Write	ReferralNotes_Update	ReferralNotes_Delete	ReferralNotes_CRUD	EncounterNotes_Read	EncounterNotes_Write	EncounterNotes_Update	EncounterNotes_Delete	EncounterNotes_CRUD	PatientRecords_Read	PatientRecords_Write	PatientRecords_Update	PatientRecords_Delete	PatientRecords_CRUD	PatientDemographics_Read	PatientDemographics_Write	PatientDemographics_Update	PatientDemographics_Delete	PatientDemographics_CRUD	RadiologyImages_Read	RadiologyImages_Write	RadiologyImages_Update	RadiologyImages_Delete	RadiologyImages_CRUD	DischargeSummaries_Read	DischargeSummaries_Write	DischargeSummaries_Update	DischargeSummaries_Delete	DischargeSummaries_CRUD	PatientCommunications_Read	PatientCommunications_Write	PatientCommunications_Update	PatientCommunications_Delete	PatientCommunications_CRUD
1	0.2870	0.7176	0.0695	0.2870	0.2870	0.2153	0.6458	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	RWUD	1	1	1	0	RWU-	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	0	0	RW--	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	0	0	RW--	1	1	1	1	RWUD	1	1	1	0	RWU-
2	0.2731	0.6827	0.1370	0.2731	0.2731	0.2048	0.6144	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	0	0	RW--	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	0	0	RW--	1	1	0	0	RW--	1	1	1	1	RWUD	1	0	0	0	R---	1	1	1	1	RWUD	0	0	0	0	----	1	1	1	0	RWU-	1	1	1	1	RWUD
3	0.2650	0.6624	0.1196	0.2650	0.2650	0.1987	0.5962	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	R---	1	1	1	1	RWUD	1	1	0	0	RW--	1	0	0	0	R---	1	0	0	0	R---	1	0	0	0	R---	1	1	1	1	RWUD	1	1	0	0	RW--	1	1	1	1	RWUD	1	0	0	0	R---	1	1	1	1	RWUD	1	1	0	0	RW--	1	1	1	1	RWUD	1	1	0	0	RW--
4	0.2456	0.6139	0.2796	0.2456	0.2456	0.1842	0.5525	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	0	0	RW--	1	1	1	1	RWUD	1	0	0	0	R---	0	0	0	0	----	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	0	0	RW--	1	0	0	0	R---	1	1	1	1	RWUD	0	0	0	0	----	1	1	1	0	RWU-	0	0	0	0	----
5	0.2416	0.6041	0.1626	0.2416	0.2416	0.1812	0.5437	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	R---	1	1	1	0	RWU-	1	1	0	0	RW--	1	0	0	0	R---	1	0	0	0	R---	1	1	1	1	RWUD	1	0	0	0	R---	1	1	0	0	RW--	1	1	0	0	RW--	1	1	1	1	RWUD	1	0	0	0	R---	0	0	0	0	----	1	1	1	0	RWU-	1	1	1	1	RWUD
6	0.2185	0.5462	0.3124	0.2185	0.2185	0.1639	0.4916	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	R---	1	1	1	0	RWU-	1	1	0	0	RW--	1	0	0	0	R---	1	1	1	0	RWU-	1	1	1	0	RWU-	0	0	0	0	----	1	1	0	0	RW--	1	1	0	0	RW--	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	1	1	0	0	RW--
7	0.2172	0.5429	0.2758	0.2172	0.2172	0.1629	0.4886	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	RWUD	1	1	1	0	RWU-	1	1	1	0	RWU-	1	0	0	0	R---	1	1	1	1	RWUD	1	0	0	0	R---	0	0	0	0	----	1	1	1	1	RWUD	1	1	0	0	RW--	1	1	1	1	RWUD	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	1	1	1	1	RWUD
8	0.2055	0.5138	0.2981	0.2055	0.2055	0.1541	0.4624	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	0	0	RW--	1	1	1	0	RWU-	1	1	0	0	RW--	1	0	0	0	R---	1	0	0	0	R---	1	1	1	1	RWUD	0	0	0	0	----	1	1	1	0	RWU-	1	1	0	0	RW--	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	1	1	1	1	RWUD
9	0.1931	0.4827	0.3700	0.1931	0.1931	0.1448	0.4344	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	0	0	0	R---	1	1	1	0	RWU-	1	1	0	0	RW--	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	1	1	0	0	RW--	0	0	0	0	----	0	0	0	0	----	1	1	1	1	RWUD	1	1	1	1	RWUD	0	0	0	0	----	1	1	1	0	RWU-	0	0	0	0	----
10	0.1754	0.4385	0.4221	0.1754	0.1754	0.1316	0.3947	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	1	1	1	0	RWU-	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----	1	1	1	1	RWUD	1	1	1	1	RWUD	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----
