Config	ResRisk	AssetValue	AuthPenalty	PRiskPImpersAttack	PRiskReplayAttack	PRiskSessionAttack	TotalRisk	op_AccessPatientProfile	op_OrderLabTest	op_AdjustCarePlan	op_ApproveDischargeSummary	op_RequestConsultation	op_CommunicateWithPatient	op_ViewRadiologyImages	op_ManageAppointment	op_PrintMedicalReport	asset_Diagnosis	asset_TreatmentPlan	asset_LabResults	asset_TestReports	asset_PatientHistory	asset_PatientInteractions	asset_VisitSummaries	asset_ReferralNotes	asset_EncounterNotes	asset_PatientRecords	asset_PatientDemographics	asset_RadiologyImages	asset_DischargeSummaries	asset_PatientCommunications	Diagnosis_Read	Diagnosis_Write	Diagnosis_Update	Diagnosis_Delete	Diagnosis_CRUD	TreatmentPlan_Read	TreatmentPlan_Write	TreatmentPlan_Update	TreatmentPlan_Delete	TreatmentPlan_CRUD	LabResults_Read	LabResults_Write	LabResults_Update	LabResults_Delete	LabResults_CRUD	TestReports_Read	TestReports_Write	TestReports_Update	TestReports_Delete	TestReports_CRUD	PatientHistory_Read	PatientHistory_Write	PatientHistory_Update	PatientHistory_Delete	PatientHistory_CRUD	PatientInteractions_Read	PatientInteractions_Write	PatientInteractions_Update	PatientInteractions_Delete	PatientInteractions_CRUD	VisitSummaries_Read	VisitSummaries_Write	VisitSummaries_Update	VisitSummaries_Delete	VisitSummaries_CRUD	ReferralNotes_Read	ReferralNotes_Write	ReferralNotes_Update	ReferralNotes_Delete	ReferralNotes_CRUD	EncounterNotes_Read	EncounterNotes_Write	EncounterNotes_Update	EncounterNotes_Delete	EncounterNotes_CRUD	PatientRecords_Read	PatientRecords_Write	PatientRecords_Update	PatientRecords_Delete	PatientRecords_CRUD	PatientDemographics_Read	PatientDemographics_Write	PatientDemographics_Update	PatientDemographics_Delete	PatientDemographics_CRUD	RadiologyImages_Read	RadiologyImages_Write	RadiologyImages_Update	RadiologyImages_Delete	RadiologyImages_CRUD	DischargeSummaries_Read	DischargeSummaries_Write	DischargeSummaries_Update	DischargeSummaries_Delete	DischargeSummaries_CRUD	PatientCommunications_Read	PatientCommunications_Write	PatientCommunications_Update	PatientCommunications_Delete	PatientCommunications_CRUD
1	0.2788	0.6970	0.1116	0.2788	0.2788	0.1394	0.5576	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	0	0	0	R---	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	0	0	0	0	----	1	1	1	1	RWUD	1	1	1	1	RWUD
2	0.2778	0.6944	0.1142	0.2778	0.2778	0.1389	0.5555	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	RW--	1	1	1	1	RWUD	1	1	1	0	RWU-	1	0	0	0	R---	1	1	1	0	RWU-	1	1	1	1	RWUD	1	0	0	0	R---	1	1	1	1	RWUD	1	1	1	0	RWU-	1	0	0	0	R---	1	1	0	0	RW--	1	1	0	0	RW--	1	1	1	0	RWU-	1	1	1	0	RWU-
3	0.2656	0.6639	0.1229	0.2656	0.2656	0.1328	0.5311	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	RWUD	1	1	1	0	RWU-	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	0	0	0	R---	1	1	0	0	RW--	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	0	0	0	0	----	1	1	1	0	RWU-	1	1	1	1	RWUD
4	0.2517	0.6293	0.1514	0.2517	0.2517	0.1259	0.5034	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	R---	1	1	1	0	RWU-	1	1	0	0	RW--	1	0	0	0	R---	1	0	0	0	R---	1	0	0	0	R---	1	0	0	0	R---	1	1	0	0	RW--	1	1	0	0	RW--	1	0	0	0	R---	1	0	0	0	R---	1	0	0	0	R---	1	1	1	0	RWU-	1	1	0	0	RW--
5	0.2408	0.6019	0.2749	0.2408	0.2408	0.1204	0.4815	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	RWUD	1	1	1	0	RWU-	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	0	0	RW--	1	1	1	0	RWU-	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	1	1	1	1	RWUD	1	1	1	1	RWUD	0	0	0	0	----	1	1	1	0	RWU-	1	1	0	0	RW--
6	0.2184	0.5461	0.3473	0.2184	0.2184	0.1092	0.4369	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	1	1	0	RWU-	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	0	0	0	0	----	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	1	1	1	1	RWUD	1	1	1	1	RWUD	0	0	0	0	----	1	1	1	0	RWU-	0	0	0	0	----
7	0.2091	0.5227	0.3420	0.2091	0.2091	0.1045	0.4182	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	1	1	1	RWUD	1	1	1	0	RWU-	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	0	0	0	0	----	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	1	1	1	1	RWUD	1	1	1	1	RWUD	0	0	0	0	----	1	1	1	1	RWUD	0	0	0	0	----
8	0.1940	0.4851	0.3442	0.1940	0.1940	0.0970	0.3881	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	0	0	RW--	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	0	RWU-	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----	1	1	1	1	RWUD	1	1	1	1	RWUD	0	0	0	0	----	0	0	0	0	----	1	1	0	0	RW--
9	0.1903	0.4758	0.3451	0.1903	0.1903	0.0952	0.3806	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	0	0	RW--	1	0	0	0	R---	1	1	1	1	RWUD	1	1	1	1	RWUD	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----	1	1	1	0	RWU-	1	1	1	1	RWUD	0	0	0	0	----	0	0	0	0	----	1	1	1	1	RWUD
10	0.1811	0.4527	0.4022	0.1811	0.1811	0.0905	0.3622	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	0	0	0	R---	1	1	1	0	RWU-	1	1	0	0	RW--	1	0	0	0	R---	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	1	1	0	0	RW--
11	0.1602	0.4006	0.4743	0.1602	0.1602	0.0801	0.3205	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	R---	1	1	1	0	RWU-	1	1	0	0	RW--	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----
12	0.1518	0.3795	0.4669	0.1518	0.1518	0.0759	0.3036	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	R---	1	1	1	1	RWUD	1	1	0	0	RW--	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----
